ts_iso,x,y,z
2025-09-26T09:33:55.096257,-0.061,0.0,-0.122
2025-09-26T09:33:55.145018,-0.061,0.305,0.0
2025-09-26T09:33:55.207566,-0.061,-0.244,0.0
2025-09-26T09:33:55.654775,-0.061,-0.122,-0.061
2025-09-26T09:33:55.830894,0.061,-0.61,-0.366
2025-09-26T09:33:55.910681,0.0,-1.831,-0.305
2025-09-26T09:33:56.054794,0.0,-1.526,-0.061
2025-09-26T09:33:56.149877,-0.061,-0.488,0.061
2025-09-26T09:33:56.239429,-0.061,0.183,-0.122
2025-09-26T09:33:56.324851,-0.061,-0.061,-0.061
2025-09-26T09:33:56.388829,-0.061,-0.671,-0.061
2025-09-26T09:33:56.484343,-0.061,0.183,-0.122
2025-09-26T09:33:56.584251,-0.061,-0.366,-0.061
2025-09-26T09:33:56.659808,-0.061,-0.183,-0.122
2025-09-26T09:33:56.724103,-0.061,-0.183,-0.061
2025-09-26T09:33:56.819243,-0.061,-0.366,-0.122
2025-09-26T09:33:56.883262,-0.061,-0.305,-0.122
2025-09-26T09:33:56.962451,0.0,-0.671,-0.061
2025-09-26T09:33:57.025905,-0.061,-0.427,-0.061
2025-09-26T09:33:57.086683,-0.061,-0.488,-0.122
2025-09-26T09:33:57.153969,-0.061,-0.122,-0.122
2025-09-26T09:33:57.201740,-0.061,-0.244,-0.061
2025-09-26T09:33:57.329483,-0.061,-0.183,-0.122
2025-09-26T09:33:57.393136,0.0,0.183,-0.122
2025-09-26T09:33:57.472806,0.366,1.648,-1.953
2025-09-26T09:33:57.551700,-0.183,-1.343,0.183
2025-09-26T09:33:57.607755,-0.061,-4.517,0.244
2025-09-26T09:33:57.662699,0.122,0.549,-0.427
2025-09-26T09:33:57.790320,-0.122,-0.305,0.061
2025-09-26T09:33:57.854034,-0.122,1.221,0.305
2025-09-26T09:33:57.934074,-0.122,-0.427,0.244
2025-09-26T09:33:58.013683,-0.183,-1.892,0.366
2025-09-26T09:33:58.076584,0.061,0.0,0.061
2025-09-26T09:33:58.155438,0.061,2.075,0.366
2025-09-26T09:33:58.235180,75.867,12.817,46.57
2025-09-26T09:33:58.299031,39.856,-13.611,-18.066
2025-09-26T09:33:58.375312,-4.272,-14.526,-79.773
2025-09-26T09:33:58.444400,-48.34,5.615,-29.358
2025-09-26T09:33:58.522696,-1.343,2.869,7.019
2025-09-26T09:33:58.604374,-16.174,-6.653,-10.925
2025-09-26T09:33:58.665594,-1.587,2.014,-2.197
2025-09-26T09:33:58.720101,-4.028,0.977,-1.16
2025-09-26T09:33:58.777769,-2.197,-1.953,-1.282
2025-09-26T09:33:58.843344,-1.099,-6.592,-1.16
2025-09-26T09:33:58.889055,-8.057,-30.334,-10.864
2025-09-26T09:33:58.937019,3.418,-2.747,-0.427
2025-09-26T09:33:58.998130,2.625,3.784,4.517
2025-09-26T09:33:59.048879,0.122,-1.465,-1.587
2025-09-26T09:33:59.126882,-2.869,-2.258,-0.916
2025-09-26T09:33:59.192176,3.967,-0.244,0.61
2025-09-26T09:33:59.238481,0.793,0.0,0.183
2025-09-26T09:33:59.302271,6.958,2.625,5.554
2025-09-26T09:33:59.366617,-8.85,-0.854,-1.404
2025-09-26T09:33:59.426973,3.479,0.732,1.648
2025-09-26T09:33:59.476031,0.671,-0.916,0.0
2025-09-26T09:33:59.525364,0.61,-0.061,0.549
2025-09-26T09:33:59.590282,0.488,-1.343,0.427
2025-09-26T09:33:59.637662,0.916,-0.854,0.0
2025-09-26T09:33:59.689497,15.442,9.094,6.165
2025-09-26T09:33:59.772733,1.831,-0.366,2.808
2025-09-26T09:33:59.820684,-0.061,0.061,-0.183
2025-09-26T09:33:59.865300,-0.122,-1.77,-0.854
2025-09-26T09:33:59.916058,0.366,-2.319,-0.732
2025-09-26T09:33:59.957902,20.203,0.183,2.563
2025-09-26T09:34:00.011628,1.709,-0.366,1.587
2025-09-26T09:34:00.054920,-0.183,1.648,0.061
2025-09-26T09:34:00.104998,-0.183,-0.122,-0.305
2025-09-26T09:34:00.160993,0.122,-0.122,0.977
2025-09-26T09:34:00.208079,0.0,-0.061,0.244
2025-09-26T09:34:00.253885,-0.061,-0.61,0.061
2025-09-26T09:34:00.300932,0.305,-0.977,0.0
2025-09-26T09:34:00.351111,0.0,-0.427,0.061
2025-09-26T09:34:00.398598,0.0,0.061,0.061
2025-09-26T09:34:00.443521,-0.183,0.366,-0.183
2025-09-26T09:34:00.488382,0.0,-1.099,-0.061
2025-09-26T09:34:00.582478,-0.061,-0.427,-0.061
2025-09-26T09:34:00.630531,0.0,-0.732,-0.061
2025-09-26T09:34:00.709671,0.0,-0.488,-0.061
2025-09-26T09:34:00.757948,-0.061,-0.244,0.0
2025-09-26T09:34:00.806298,0.0,-1.038,-0.122
2025-09-26T09:34:00.849580,-0.061,-0.061,-0.244
2025-09-26T09:34:00.899600,-0.061,-0.122,-0.122
2025-09-26T09:34:00.972012,-0.061,-0.366,-0.183
2025-09-26T09:34:01.023509,0.0,-0.122,-0.244
2025-09-26T09:34:01.075100,0.061,-0.549,-0.244
2025-09-26T09:34:01.133933,0.0,-0.671,0.061
2025-09-26T09:34:01.189480,-0.061,0.0,-0.122
2025-09-26T09:34:01.266360,-0.061,-0.488,0.0
2025-09-26T09:34:01.376622,-0.061,-0.061,-0.061
2025-09-26T09:34:01.451838,0.0,-0.916,-0.122
2025-09-26T09:34:01.515102,0.061,-0.427,-0.427
2025-09-26T09:34:01.565504,0.122,-1.038,-0.061
2025-09-26T09:34:01.620289,0.0,-0.671,0.0
2025-09-26T09:34:01.673728,-0.061,-0.244,0.0
2025-09-26T09:34:01.763403,-0.061,-0.427,-0.122
2025-09-26T09:34:01.821505,-0.061,-0.183,-0.183
2025-09-26T09:34:01.876450,0.0,-0.732,-0.122
2025-09-26T09:34:01.927263,-0.122,0.061,-0.183
2025-09-26T09:34:01.984463,0.0,-0.61,-0.122
2025-09-26T09:34:02.040614,-0.061,-0.244,-0.061
2025-09-26T09:34:02.108252,0.0,-0.488,-0.061
2025-09-26T09:34:02.157267,-0.061,-0.366,-0.061
2025-09-26T09:34:02.203325,-0.061,-0.427,-0.122
2025-09-26T09:34:02.257888,-0.061,0.0,-0.366
2025-09-26T09:34:02.315191,0.061,-1.16,0.122
2025-09-26T09:34:02.397383,-0.244,1.221,-0.244
2025-09-26T09:34:02.446804,-0.061,-0.061,-0.366
2025-09-26T09:34:02.522194,1.282,-2.502,0.061
2025-09-26T09:34:03.240185,-0.122,-0.122,0.122
2025-09-26T09:34:03.297857,-0.122,0.488,0.0
2025-09-26T09:34:03.382020,0.0,-0.854,-0.183
2025-09-26T09:34:03.488108,-0.122,0.122,-0.061
2025-09-26T09:34:03.751863,0.061,0.427,0.732
2025-09-26T09:34:03.879996,0.122,-0.061,0.305
2025-09-26T09:34:03.953244,0.0,-0.671,0.122
2025-09-26T09:34:04.013281,-0.122,0.183,-0.244
2025-09-26T09:34:04.088544,0.122,-0.061,-0.244
2025-09-26T09:34:04.155308,2.075,-0.549,0.061
2025-09-26T09:34:04.245997,1.892,-0.671,0.061
2025-09-26T09:34:04.448823,0.0,-0.183,-0.061
2025-09-26T09:34:04.495049,-0.061,-0.122,-0.183
2025-09-26T09:34:04.809217,-0.061,-0.427,-0.183
2025-09-26T09:34:04.949506,0.0,-0.488,-0.061
2025-09-26T09:34:05.112881,-0.061,0.122,-0.244
2025-09-26T09:34:05.205745,0.0,-0.854,-0.061
2025-09-26T09:34:05.284264,-0.061,-0.061,0.0
2025-09-26T09:34:05.348563,0.183,-1.404,0.061
2025-09-26T09:34:05.409360,-0.122,0.244,0.0
2025-09-26T09:34:05.565252,-0.122,0.061,-0.183
2025-09-26T09:34:05.694253,-0.061,-0.427,-0.183
2025-09-26T09:34:05.803410,-0.061,-0.427,0.061
2025-09-26T09:34:05.887194,-0.061,-0.427,-0.122
2025-09-26T09:34:06.007398,0.0,-0.61,-0.183
2025-09-26T09:34:06.074928,-0.183,0.061,-0.061
2025-09-26T09:34:06.228253,0.183,1.465,-0.183
2025-09-26T09:34:06.269812,-0.061,0.061,-0.061
2025-09-26T09:34:06.341805,0.0,-1.038,0.244
2025-09-26T09:34:06.447215,-0.122,1.221,2.075
2025-09-26T09:34:06.493658,-0.061,-1.221,-0.122
2025-09-26T09:34:06.566060,-0.061,-0.244,0.061
2025-09-26T09:34:06.629389,-0.122,0.366,0.061
2025-09-26T09:34:06.705948,0.0,-0.671,-0.061
2025-09-26T09:34:06.759630,-0.061,-0.183,-0.122
